Allele.name	Allele.primaryIdentifier	Allele.symbol	Allele.publications.pubMedId	Allele.projectCollection
2'-5' oligoadenylate synthetase 1E; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4362444	Oas1e<tm1a(KOMP)Wtsi>	21677750	KOMP-CSD
2'-5' oligoadenylate synthetase 1E; targeted mutation 1e, Wellcome Trust Sanger Institute	MGI:4362348	Oas1e<tm1e(KOMP)Wtsi>	21677750	KOMP-CSD
2'-5' oligoadenylate synthetase 1G; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4364835	Oas1g<tm1a(KOMP)Wtsi>	21677750	KOMP-CSD
2'-5' oligoadenylate synthetase 1G; targeted mutation 1e, Wellcome Trust Sanger Institute	MGI:4362795	Oas1g<tm1e(KOMP)Wtsi>	21677750	KOMP-CSD
2'-5' oligoadenylate synthetase 1G; targeted mutation 2e, Wellcome Trust Sanger Institute	MGI:4363868	Oas1g<tm2e(KOMP)Wtsi>	21677750	KOMP-CSD
2'-5' oligoadenylate synthetase 1G; targeted mutation 3a, Wellcome Trust Sanger Institute	MGI:4455455	Oas1g<tm3a(KOMP)Wtsi>	21677750	KOMP-CSD
2'-5' oligoadenylate synthetase 1G; targeted mutation 3e, Wellcome Trust Sanger Institute	MGI:4455595	Oas1g<tm3e(KOMP)Wtsi>	21677750	KOMP-CSD
2'-5' oligoadenylate synthetase 1G; targeted mutation 3e, Wellcome Trust Sanger Institute	MGI:4455595	Oas1g<tm3e(KOMP)Wtsi>	27626380	KOMP-CSD
2'-5' oligoadenylate synthetase 3; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4362367	Oas3<tm1a(KOMP)Wtsi>	21677750	KOMP-CSD
2'-5' oligoadenylate synthetase 3; targeted mutation 1e, Wellcome Trust Sanger Institute	MGI:4363341	Oas3<tm1e(KOMP)Wtsi>	21677750	KOMP-CSD
2'-5' oligoadenylate synthetase-like 2; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4431962	Oasl2<tm1a(EUCOMM)Wtsi>	21677750	EUCOMM
2'-deoxynucleoside 5'-phosphate N-hydrolase 1; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4419148	Dnph1<tm1a(KOMP)Wtsi>	21677750	KOMP-CSD
2'-deoxynucleoside 5'-phosphate N-hydrolase 1; targeted mutation 1e, Wellcome Trust Sanger Institute	MGI:4419999	Dnph1<tm1e(KOMP)Wtsi>	21677750	KOMP-CSD
2'-deoxynucleoside 5'-phosphate N-hydrolase 1; targeted mutation 2a, Wellcome Trust Sanger Institute	MGI:5472978	Dnph1<tm2a(EUCOMM)Wtsi>	21677750	EUCOMM
2-hydroxyacyl-CoA lyase 1; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4362181	Hacl1<tm1a(KOMP)Wtsi>	21677750	KOMP-CSD
2-hydroxyacyl-CoA lyase 1; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4362181	Hacl1<tm1a(KOMP)Wtsi>	27626380	KOMP-CSD
2-hydroxyacyl-CoA lyase 1; targeted mutation 1b, Wellcome Trust Sanger Institute	MGI:5548710	Hacl1<tm1b(KOMP)Wtsi>	27626380	KOMP-CSD
2-hydroxyacyl-CoA lyase 1; targeted mutation 1e, Wellcome Trust Sanger Institute	MGI:4362999	Hacl1<tm1e(KOMP)Wtsi>	21677750	KOMP-CSD
2-oxoglutarate and iron-dependent oxygenase domain containing 1; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4362420	Ogfod1<tm1a(KOMP)Wtsi>	21677750	KOMP-CSD
2-oxoglutarate and iron-dependent oxygenase domain containing 1; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4362420	Ogfod1<tm1a(KOMP)Wtsi>	24550447	KOMP-CSD
2-oxoglutarate and iron-dependent oxygenase domain containing 1; targeted mutation 1c, Wellcome Trust Sanger Institute	MGI:5607135	Ogfod1<tm1c(KOMP)Wtsi>	24550447	KOMP-CSD
2-oxoglutarate and iron-dependent oxygenase domain containing 1; targeted mutation 1d, Wellcome Trust Sanger Institute	MGI:5607136	Ogfod1<tm1d(KOMP)Wtsi>	24550447	KOMP-CSD
2-oxoglutarate and iron-dependent oxygenase domain containing 1; targeted mutation 1e, Wellcome Trust Sanger Institute	MGI:4365223	Ogfod1<tm1e(KOMP)Wtsi>	21677750	KOMP-CSD
2-oxoglutarate and iron-dependent oxygenase domain containing 1; targeted mutation 2a, Wellcome Trust Sanger Institute	MGI:4362986	Ogfod1<tm2a(KOMP)Wtsi>	21677750	KOMP-CSD
2-oxoglutarate and iron-dependent oxygenase domain containing 1; targeted mutation 2e, Wellcome Trust Sanger Institute	MGI:4362970	Ogfod1<tm2e(KOMP)Wtsi>	21677750	KOMP-CSD
2-oxoglutarate and iron-dependent oxygenase domain containing 2; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:5307111	Ogfod2<tm1a(KOMP)Wtsi>	21677750	KOMP-CSD
2-oxoglutarate and iron-dependent oxygenase domain containing 3; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4364925	Ogfod3<tm1a(KOMP)Wtsi>	21677750	KOMP-CSD
2-oxoglutarate and iron-dependent oxygenase domain containing 3; targeted mutation 1b, Wellcome Trust Sanger Institute	MGI:5548515	Ogfod3<tm1b(KOMP)Wtsi>	27626380	KOMP-CSD
2-oxoglutarate and iron-dependent oxygenase domain containing 3; targeted mutation 1e, Wellcome Trust Sanger Institute	MGI:4364579	Ogfod3<tm1e(KOMP)Wtsi>	21677750	KOMP-CSD
2-phosphoxylose phosphatase 1; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4362699	Pxylp1<tm1a(KOMP)Wtsi>	21677750	KOMP-CSD
3-hydroxy-3-methylglutaryl-Coenzyme A reductase; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4364935	Hmgcr<tm1a(KOMP)Wtsi>	21677750	KOMP-CSD
3-hydroxy-3-methylglutaryl-Coenzyme A reductase; targeted mutation 1e, Wellcome Trust Sanger Institute	MGI:4364674	Hmgcr<tm1e(KOMP)Wtsi>	21677750	KOMP-CSD
3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2; targeted mutation 1e, Wellcome Trust Sanger Institute	MGI:4847703	Hmgcs2<tm1e(KOMP)Wtsi>	21677750	KOMP-CSD
3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2; targeted mutation 2e, Wellcome Trust Sanger Institute	MGI:5319895	Hmgcs2<tm2e(KOMP)Wtsi>	21677750	KOMP-CSD
3-hydroxyanthranilate 3,4-dioxygenase; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:5432202	Haao<tm1a(KOMP)Wtsi>	21677750	KOMP-CSD
3-hydroxyanthranilate 3,4-dioxygenase; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:5432202	Haao<tm1a(KOMP)Wtsi>	27754481	KOMP-CSD
3-hydroxybutyrate dehydrogenase, type 1; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4432883	Bdh1<tm1a(EUCOMM)Wtsi>	21677750	EUCOMM
3-hydroxybutyrate dehydrogenase, type 1; targeted mutation 1e, Wellcome Trust Sanger Institute	MGI:4431876	Bdh1<tm1e(EUCOMM)Wtsi>	21677750	EUCOMM
3-hydroxybutyrate dehydrogenase, type 2; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4433163	Bdh2<tm1a(EUCOMM)Wtsi>	21677750	EUCOMM
3-hydroxybutyrate dehydrogenase, type 2; targeted mutation 1e, Wellcome Trust Sanger Institute	MGI:4434125	Bdh2<tm1e(EUCOMM)Wtsi>	21677750	EUCOMM
3-hydroxyisobutyrate dehydrogenase; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:5014686	Hibadh<tm1a(EUCOMM)Wtsi>	21677750	EUCOMM
3-hydroxyisobutyrate dehydrogenase; targeted mutation 1b, Wellcome Trust Sanger Institute	MGI:5637002	Hibadh<tm1b(EUCOMM)Wtsi>	26398943	EUCOMM
3-hydroxyisobutyrate dehydrogenase; targeted mutation 1b, Wellcome Trust Sanger Institute	MGI:5637002	Hibadh<tm1b(EUCOMM)Wtsi>	27626380	EUCOMM
3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase-like 1; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:5286181	Hmgcll1<tm1a(KOMP)Wtsi>	21677750	KOMP-CSD
3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase-like 1; targeted mutation 1e, Wellcome Trust Sanger Institute	MGI:5426556	Hmgcll1<tm1e(KOMP)Wtsi>	21677750	KOMP-CSD
3-ketodihydrosphingosine reductase; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4944357	Kdsr<tm1a(KOMP)Wtsi>	21677750	KOMP-CSD
3-ketodihydrosphingosine reductase; targeted mutation 1e, Wellcome Trust Sanger Institute	MGI:4944336	Kdsr<tm1e(KOMP)Wtsi>	21677750	KOMP-CSD
3-oxoacid CoA transferase 1; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4364940	Oxct1<tm1a(KOMP)Wtsi>	21209089	KOMP-CSD
3-oxoacid CoA transferase 1; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4364940	Oxct1<tm1a(KOMP)Wtsi>	21677750	KOMP-CSD
3-oxoacid CoA transferase 1; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4364940	Oxct1<tm1a(KOMP)Wtsi>	23233542	KOMP-CSD
3-oxoacid CoA transferase 1; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4364940	Oxct1<tm1a(KOMP)Wtsi>	25353003	KOMP-CSD
3-oxoacid CoA transferase 1; targeted mutation 1e, Wellcome Trust Sanger Institute	MGI:4365227	Oxct1<tm1e(KOMP)Wtsi>	21677750	KOMP-CSD
3'-phosphoadenosine 5'-phosphosulfate synthase 2; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:5286398	Papss2<tm1a(EUCOMM)Wtsi>	21677750	EUCOMM
3'-phosphoadenosine 5'-phosphosulfate synthase 2; targeted mutation 1e, Wellcome Trust Sanger Institute	MGI:5296209	Papss2<tm1e(EUCOMM)Wtsi>	21677750	EUCOMM
3-phosphoglycerate dehydrogenase; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4362757	Phgdh<tm1a(KOMP)Wtsi>	21677750	KOMP-CSD
3-phosphoglycerate dehydrogenase; targeted mutation 1e, Wellcome Trust Sanger Institute	MGI:4364189	Phgdh<tm1e(KOMP)Wtsi>	21677750	KOMP-CSD
3-phosphoinositide dependent protein kinase 1; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4944580	Pdpk1<tm1a(EUCOMM)Wtsi>	21677750	EUCOMM
3-phosphoinositide dependent protein kinase 1; targeted mutation 1e, Wellcome Trust Sanger Institute	MGI:4432507	Pdpk1<tm1e(EUCOMM)Wtsi>	21677750	EUCOMM
4-hydroxy-2-oxoglutarate aldolase 1; targeted mutation 1e, Wellcome Trust Sanger Institute	MGI:4363251	Hoga1<tm1e(KOMP)Wtsi>	21677750	KOMP-CSD
4-hydroxy-2-oxoglutarate aldolase 1; targeted mutation 2a, Wellcome Trust Sanger Institute	MGI:4419886	Hoga1<tm2a(KOMP)Wtsi>	21677750	KOMP-CSD
4-hydroxy-2-oxoglutarate aldolase 1; targeted mutation 2a, Wellcome Trust Sanger Institute	MGI:4419886	Hoga1<tm2a(KOMP)Wtsi>	26428388	KOMP-CSD
4-hydroxy-2-oxoglutarate aldolase 1; targeted mutation 2e, Wellcome Trust Sanger Institute	MGI:4419736	Hoga1<tm2e(KOMP)Wtsi>	21677750	KOMP-CSD
4-hydroxyphenylpyruvic acid dioxygenase; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:5473070	Hpd<tm1a(EUCOMM)Wtsi>	21677750	EUCOMM
4short chain dehydrogenase/reductase family 9C, member 7; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4881074	Sdr9c7<tm1a(EUCOMM)Wtsi>	21677750	EUCOMM
4short chain dehydrogenase/reductase family 9C, member 7; targeted mutation 1e, Wellcome Trust Sanger Institute	MGI:4881078	Sdr9c7<tm1e(EUCOMM)Wtsi>	21677750	EUCOMM
5, 10-methenyltetrahydrofolate synthetase-like; targeted mutation 1b, Helmholtz Zentrum Muenchen GmbH	MGI:5548911	Mthfsl<tm1b(EUCOMM)Hmgu>	27626380	EUCOMM
5, 10-methenyltetrahydrofolate synthetase; targeted mutation 1, Wellcome Trust Sanger Institute	MGI:4419786	Mthfs<tm1(KOMP)Wtsi>	21677750	KOMP-CSD
5'-3' exoribonuclease 2; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:5296130	Xrn2<tm1a(KOMP)Wtsi>	21677750	KOMP-CSD
5'-3' exoribonuclease 2; targeted mutation 1e, Wellcome Trust Sanger Institute	MGI:5296118	Xrn2<tm1e(KOMP)Wtsi>	21677750	KOMP-CSD
5',3'-nucleotidase, cytosolic; targeted mutation 1, Wellcome Trust Sanger Institute	MGI:4419398	Nt5c<tm1(KOMP)Wtsi>	21677750	KOMP-CSD
5',3'-nucleotidase, mitochondrial; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4433639	Nt5m<tm1a(EUCOMM)Wtsi>	21677750	EUCOMM
5',3'-nucleotidase, mitochondrial; targeted mutation 1e, Wellcome Trust Sanger Institute	MGI:4431922	Nt5m<tm1e(EUCOMM)Wtsi>	21677750	EUCOMM
5',3'-nucleotidase, mitochondrial; targeted mutation 2e, Wellcome Trust Sanger Institute	MGI:5472811	Nt5m<tm2e(EUCOMM)Wtsi>	21677750	EUCOMM
5-azacytidine induced gene 2; targeted mutation 1e, Wellcome Trust Sanger Institute	MGI:4842791	Azi2<tm1e(EUCOMM)Wtsi>	21677750	EUCOMM
5-hydroxytryptamine (serotonin) receptor 1A; targeted mutation 1.1, Velocigene	MGI:5445924	Htr1a<tm1.1(KOMP)Vlcg>	27626380	KOMP-Regeneron
5-hydroxytryptamine (serotonin) receptor 1A; targeted mutation 1.1, Velocigene	MGI:5445924	Htr1a<tm1.1(KOMP)Vlcg>	28700664	KOMP-Regeneron
5-hydroxytryptamine (serotonin) receptor 1B; targeted mutation 1.1, Velocigene	MGI:5463939	Htr1b<tm1.1(KOMP)Vlcg>	27626380	KOMP-Regeneron
5-hydroxytryptamine (serotonin) receptor 1D; targeted mutation 1.1, Velocigene	MGI:5529062	Htr1d<tm1.1(KOMP)Vlcg>	27626380	KOMP-Regeneron
5-hydroxytryptamine (serotonin) receptor 1D; targeted mutation 1.1, Velocigene	MGI:5529062	Htr1d<tm1.1(KOMP)Vlcg>	28700664	KOMP-Regeneron
5-hydroxytryptamine (serotonin) receptor 1F; targeted mutation 1.1, Velocigene	MGI:5520176	Htr1f<tm1.1(KOMP)Vlcg>	27626380	KOMP-Regeneron
5-hydroxytryptamine (serotonin) receptor 2B; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4432543	Htr2b<tm1a(EUCOMM)Wtsi>	21677750	EUCOMM
5-hydroxytryptamine (serotonin) receptor 2B; targeted mutation 1b, Wellcome Trust Sanger Institute	MGI:5550591	Htr2b<tm1b(EUCOMM)Wtsi>	27626380	EUCOMM
5-hydroxytryptamine (serotonin) receptor 2B; targeted mutation 1e, Wellcome Trust Sanger Institute	MGI:4432082	Htr2b<tm1e(EUCOMM)Wtsi>	21677750	EUCOMM
5-hydroxytryptamine (serotonin) receptor 3A; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:5052491	Htr3a<tm1a(EUCOMM)Wtsi>	21677750	EUCOMM
5-hydroxytryptamine (serotonin) receptor 3B; targeted mutation 1.1, Velocigene	MGI:5445922	Htr3b<tm1.1(KOMP)Vlcg>	27626380	KOMP-Regeneron
5-hydroxytryptamine (serotonin) receptor 3B; targeted mutation 1.1, Velocigene	MGI:5445922	Htr3b<tm1.1(KOMP)Vlcg>	28700664	KOMP-Regeneron
5-hydroxytryptamine (serotonin) receptor 7; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4364274	Htr7<tm1a(KOMP)Wtsi>	21677750	KOMP-CSD
5-hydroxytryptamine (serotonin) receptor 7; targeted mutation 1b, Wellcome Trust Sanger Institute	MGI:5498765	Htr7<tm1b(KOMP)Wtsi>	21677750	KOMP-CSD
5-hydroxytryptamine (serotonin) receptor 7; targeted mutation 1b, Wellcome Trust Sanger Institute	MGI:5498765	Htr7<tm1b(KOMP)Wtsi>	27626380	KOMP-CSD
5-hydroxytryptamine (serotonin) receptor 7; targeted mutation 2a, Wellcome Trust Sanger Institute	MGI:4841249	Htr7<tm2a(KOMP)Wtsi>	21677750	KOMP-CSD
5-hydroxytryptamine (serotonin) receptor 7; targeted mutation 2e, Wellcome Trust Sanger Institute	MGI:4841432	Htr7<tm2e(KOMP)Wtsi>	21677750	KOMP-CSD
5-methyltetrahydrofolate-homocysteine methyltransferase reductase; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:5000404	Mtrr<tm1a(EUCOMM)Wtsi>	21677750	EUCOMM
5'-nucleotidase, cytosolic IA; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4841112	Nt5c1a<tm1a(KOMP)Wtsi>	21677750	KOMP-CSD
5'-nucleotidase, cytosolic IA; targeted mutation 1e, Wellcome Trust Sanger Institute	MGI:4841137	Nt5c1a<tm1e(KOMP)Wtsi>	21677750	KOMP-CSD
5'-nucleotidase, cytosolic IB; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4948619	Nt5c1b<tm1a(KOMP)Wtsi>	21677750	KOMP-CSD
5'-nucleotidase, cytosolic IB; targeted mutation 1b, Wellcome Trust Sanger Institute	MGI:5635258	Nt5c1b<tm1b(KOMP)Wtsi>	21677750	KOMP-CSD
5'-nucleotidase, cytosolic IB; targeted mutation 1e, Wellcome Trust Sanger Institute	MGI:5007968	Nt5c1b<tm1e(KOMP)Wtsi>	21677750	KOMP-CSD
5'-nucleotidase, cytosolic II; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4432536	Nt5c2<tm1a(EUCOMM)Wtsi>	21677750	EUCOMM
5'-nucleotidase, cytosolic II; targeted mutation 1e, Wellcome Trust Sanger Institute	MGI:4433513	Nt5c2<tm1e(EUCOMM)Wtsi>	21677750	EUCOMM
5'-nucleotidase, cytosolic II; targeted mutation 3a, Wellcome Trust Sanger Institute	MGI:5511925	Nt5c2<tm3a(EUCOMM)Wtsi>	21677750	EUCOMM
5'-nucleotidase, cytosolic II; targeted mutation 3e, Wellcome Trust Sanger Institute	MGI:5511898	Nt5c2<tm3e(EUCOMM)Wtsi>	21677750	EUCOMM
5'-nucleotidase domain containing 1; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4944377	Nt5dc1<tm1a(KOMP)Wtsi>	21677750	KOMP-CSD
5'-nucleotidase domain containing 2; targeted mutation 1, Wellcome Trust Sanger Institute	MGI:4419353	Nt5dc2<tm1(KOMP)Wtsi>	21677750	KOMP-CSD
5'-nucleotidase domain containing 3; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4433307	Nt5dc3<tm1a(EUCOMM)Wtsi>	21677750	EUCOMM
5' nucleotidase, ecto; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4841170	Nt5e<tm1a(KOMP)Wtsi>	21677750	KOMP-CSD
5-oxoprolinase (ATP-hydrolysing); targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4363400	Oplah<tm1a(KOMP)Wtsi>	21677750	KOMP-CSD
5-oxoprolinase (ATP-hydrolysing); targeted mutation 1e, Wellcome Trust Sanger Institute	MGI:4364406	Oplah<tm1e(KOMP)Wtsi>	21677750	KOMP-CSD
5-phosphohydroxy-L-lysine phospholyase; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4431628	Phykpl<tm1a(EUCOMM)Wtsi>	21677750	EUCOMM
5-phosphohydroxy-L-lysine phospholyase; targeted mutation 1e, Wellcome Trust Sanger Institute	MGI:4434281	Phykpl<tm1e(EUCOMM)Wtsi>	21677750	EUCOMM
5-phosphohydroxy-L-lysine phospholyase; targeted mutation 2a, Wellcome Trust Sanger Institute	MGI:4456760	Phykpl<tm2a(EUCOMM)Wtsi>	21677750	EUCOMM
5-phosphohydroxy-L-lysine phospholyase; targeted mutation 2e, Wellcome Trust Sanger Institute	MGI:4456765	Phykpl<tm2e(EUCOMM)Wtsi>	21677750	EUCOMM
6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4944400	Pfkfb1<tm1a(KOMP)Wtsi>	21677750	KOMP-CSD
6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1; targeted mutation 1b, Wellcome Trust Sanger Institute	MGI:5548378	Pfkfb1<tm1b(KOMP)Wtsi>	27626380	KOMP-CSD
6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1; targeted mutation 1e, Wellcome Trust Sanger Institute	MGI:4946688	Pfkfb1<tm1e(KOMP)Wtsi>	21677750	KOMP-CSD
6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4364491	Pfkfb2<tm1a(KOMP)Wtsi>	21677750	KOMP-CSD
6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2; targeted mutation 1b, Wellcome Trust Sanger Institute	MGI:5605741	Pfkfb2<tm1b(KOMP)Wtsi>	27626380	KOMP-CSD
6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2; targeted mutation 1e, Wellcome Trust Sanger Institute	MGI:4364707	Pfkfb2<tm1e(KOMP)Wtsi>	21677750	KOMP-CSD
6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4441922	Pfkfb3<tm1a(EUCOMM)Wtsi>	21677750	EUCOMM
6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3; targeted mutation 1e, Wellcome Trust Sanger Institute	MGI:4441985	Pfkfb3<tm1e(EUCOMM)Wtsi>	21677750	EUCOMM
6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4362852	Pfkfb4<tm1a(KOMP)Wtsi>	21677750	KOMP-CSD
6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4362852	Pfkfb4<tm1a(KOMP)Wtsi>	27626380	KOMP-CSD
6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4; targeted mutation 1b, Wellcome Trust Sanger Institute	MGI:5548881	Pfkfb4<tm1b(KOMP)Wtsi>	27626380	KOMP-CSD
6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4; targeted mutation 1e, Wellcome Trust Sanger Institute	MGI:4363315	Pfkfb4<tm1e(KOMP)Wtsi>	21677750	KOMP-CSD
6-phosphogluconolactonase; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:5305612	Pgls<tm1a(KOMP)Wtsi>	21677750	KOMP-CSD
6-pyruvoyl-tetrahydropterin synthase; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4944538	Pts<tm1a(EUCOMM)Wtsi>	21677750	EUCOMM
6-pyruvoyl-tetrahydropterin synthase; targeted mutation 1e, Wellcome Trust Sanger Institute	MGI:4944507	Pts<tm1e(EUCOMM)Wtsi>	21677750	EUCOMM
8-oxoguanine DNA-glycosylase 1; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4432999	Ogg1<tm1a(EUCOMM)Wtsi>	21677750	EUCOMM
8-oxoguanine DNA-glycosylase 1; targeted mutation 1e, Wellcome Trust Sanger Institute	MGI:4433477	Ogg1<tm1e(EUCOMM)Wtsi>	21677750	EUCOMM
aarF domain containing kinase 2; targeted mutation 1.1, Velocigene	MGI:5529498	Adck2<tm1.1(KOMP)Vlcg>	27626380	KOMP-Regeneron
Abelson helper integration site 1; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4434378	Ahi1<tm1a(EUCOMM)Wtsi>	21677750	EUCOMM
Abelson helper integration site 1; targeted mutation 1e, Wellcome Trust Sanger Institute	MGI:4434344	Ahi1<tm1e(EUCOMM)Wtsi>	21677750	EUCOMM
abhydrolase domain containing 13; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4451450	Abhd13<tm1a(KOMP)Wtsi>	21677750	KOMP-CSD
abhydrolase domain containing 13; targeted mutation 1e, Wellcome Trust Sanger Institute	MGI:4451693	Abhd13<tm1e(KOMP)Wtsi>	21677750	KOMP-CSD
